name
LA 03-Table 1.csv
Ind 01-Table 1.csv
Detroit 07-Table 1.csv
Ind 99-Table 1.csv
Boston 04-Table 1.csv
Port 04-Table 1.csv
Cinci 03-Table 1.csv
NO 04-Table 1.csv
Austin 02-Table 1.csv
Boston 01-Table 1.csv
Cinci 97-Table 1.csv
Austin 07-Table 1.csv
NO 01-Table 1.csv
Cinci 06-Table 1.csv
Port 01-Table 1.csv
Port 99-Table 1.csv
LA 06-Table 1.csv
NO 99-Table 1.csv
Detroit 02-Table 1.csv
LA 97-Table 1.csv
Ind 04-Table 1.csv
Boston 99-Table 1.csv
Ind 07-Table 1.csv
Detroit 01-Table 1.csv
LA 05-Table 1.csv
Port 02-Table 1.csv
Austin 04-Table 1.csv
NO 02-Table 1.csv
Cinci 05-Table 1.csv
Detroit 99-Table 1.csv
Boston 02-Table 1.csv
LA 98-Table 1.csv
Cinci 00-Table 1.csv
NO 07-Table 1.csv
Austin 01-Table 1.csv
Port 07-Table 1.csv
Boston 07-Table 1.csv
Detroit 04-Table 1.csv
Ind 02-Table 1.csv
Austin 99-Table 1.csv
LA 00-Table 1.csv
Cinci 98-Table 1.csv
Detroit 03-Table 1.csv
Boston 98-Table 1.csv
Ind 05-Table 1.csv
Port 98-Table 1.csv
LA 07-Table 1.csv
NO 98-Table 1.csv
Cinci 07-Table 1.csv
NO 00-Table 1.csv
Austin 06-Table 1.csv
Port 00-Table 1.csv
Boston 00-Table 1.csv
Austin 97-Table 1.csv
Port 05-Table 1.csv
Austin 03-Table 1.csv
NO 05-Table 1.csv
Cinci 02-Table 1.csv
Boston 05-Table 1.csv
Ind 98-Table 1.csv
Ind 00-Table 1.csv
Detroit 06-Table 1.csv
Detroit 97-Table 1.csv
LA 02-Table 1.csv
LA 01-Table 1.csv
Cinci 99-Table 1.csv
Austin 98-Table 1.csv
Detroit 05-Table 1.csv
Ind 03-Table 1.csv
Boston 06-Table 1.csv
Port 97-Table 1.csv
NO 97-Table 1.csv
Austin 00-Table 1.csv
LA 99-Table 1.csv
NO 06-Table 1.csv
Cinci 01-Table 1.csv
Boston 97-Table 1.csv
Port 06-Table 1.csv
Detroit 98-Table 1.csv
Boston 03-Table 1.csv
Port 03-Table 1.csv
Cinci 04-Table 1.csv
NO 03-Table 1.csv
Austin 05-Table 1.csv
LA 04-Table 1.csv
Ind 97-Table 1.csv
Ind 06-Table 1.csv
Detroit 00-Table 1.csv
