Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of EI programs,Core or Non-core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days
2004,KABH-CA,Univision Programming Service,"Portland, OR",3,Analog,Complices Al Rescate,Core,Network,Saturdays/Sundays @ 8:30am,26,0,90 minutes,7 years,12 years,"A significant purpose and key educational objective of this program is to illustrate how friendship, love and kindness can help overcome life’s adversities. Complices al Rescate (“Friends to the Rescue”) follows the lives of two eleven-year-old girls, Sil",99,N/A,N/A,N/A
2004,KATU,ABC,"Portland, OR",3,Analog,Lilo & Stitch: The Series,Core,Network,Saturdays/9 am PT,13,1,30 minutes,7 years,10 years,"Lilo, a precocious girl of about five, and her alien pet “Stitch” live with Lilo’s sister Nani. Nani is trying to keep their little family together after the tragic death of their parents in an automobile accident. Although still a teen herself, Nani work",1,N/A,N/A,N/A
2004,KATU,ABC,"Portland, OR",3,Analog,Disney's Fillmore,Core,Network,Saturdays/9:30 am pt,13,1,30 minutes,9 years,12 years,"“Fillmore!” is a detective series that takes place in a middle school. The stars of the stories are the members of X Middle School’s Safety Patrol, a multi-ethnic group of youth who wear the orange sash and badge of peer authority. They investigate and fo",1,N/A,N/A,N/A
2004,KATU,ABC,"Portland, OR",3,Analog,The Proud Family,Core,Network,Saturdays/10:00am PT,13,4,30 minutes,10 years,13 years,"“The Proud Family” revolves around the daily activities of fourteen-year-old Penny Proud and her African-American family consisting of parents Trudy Proud (a veterinarian) and Oscar Proud (self-employed businessman), a no-nonsense Grandmother Suga Mama wh",4,N/A,N/A,N/A
2004,KATU,ABC,"Portland, OR",3,Analog,That's So Raven,Core,Network,Saturdays/10:30am PT,13,4,30 minutes,10 years,13 years,"Raven, a young teen who has inherited her grandmother’s trait of clairvoyance, is a normal, happy and resourceful young woman. However, at times Raven worries that she is a “freak” because of her clairvoyant abilities. She has a younger brother, Cory, age",4,N/A,N/A,N/A
2004,KATU,ABC,"Portland, OR",3,Analog,Phil of the Future,Core,Network,Saturdays/11:00am PT,13,4,30 minutes,10 years,13 years,"“Phil of the Future” is the story of a teenage boy, Phil Diffy, his younger sister, Pim, and their parents, who find themselves living in the 21st century when their time travel vehicle malfunctions in flight. While their goal is to repair the time travel",4,N/A,N/A,N/A
2004,KATU,ABC,"Portland, OR",3,Analog,Lizzie McGuire,Core,Network,Saturdays/11:30am PT,13,4,30 minutes,9 years,12 years,"""Lizzie McGuire"" is the story of an ingenious twelve-year-old girl who attends an ethnically diverse middle school. Her best friends are Miranda, a feisty Hispanic girl, and a boy named Gordo. Lizzie has a gifted younger brother who is frequently the sour",4,N/A,N/A,N/A
2004,KGW,NBC,"Portland, OR",3,Analog,Strange Days at Blake Holsey High,Core,Network,Saturdays/10:00am  ,13,2,30 minutes,9 years,14 years,"STRANGE DAYS AT BLAKE HOLSEY HIGH focuses on a group of five young teens who are students at a very unusual boarding school. Strange phenomena happen at the school, and our kids are members of a science club that decides, with the help of their professor,",2,N/A,N/A,N/A
2004,KGW,NBC,"Portland, OR",3,Analog,Darcy's Wild Life,Core,Network,Saturdays/10:30am,13,2,30 minutes,9 years,14 years,"DARCY’S WILD LIFE follows the life of 15-year-old Darcy Fields, the pampered daughter of a top Hollywood movie-star who was plucked out of a life of limos, movie-premiers and world class restaurants to live a “no frills” life in rural Idaho. Darcy’s initi",2,N/A,N/A,N/A
2004,KGW,NBC,"Portland, OR",3,Analog,Endurance,Core,Network,Saturdays/3:30pm,13,1,30 minutes,9 years,14 years,"ENDURANCE is an engrossing program that shows the target audience succeeding at several different physical, intellectual and strategic challenges in order to win a fabulous travel prize. Each of the 12 competitive challenges is a metaphor for the challeng",1,N/A,N/A,N/A
2004,KGW,NBC,"Portland, OR",3,Analog,Kenny the Shark,Core,Network,Saturdays/4:00pm,13,3,30 minutes,9 years,14 years,"KENNY THE SHARK is an eight foot tall shark who lives on land with his owner, ten-year-old Kat. Much of the adventure and humor in this show emerges from the problems that accompany managing the life of a shark trying to live in the incongruous world of h",3,N/A,N/A,N/A
2004,KGW,NBC,"Portland, OR",3,Analog,Tutenstein,Core,Network,Saturdays/4:30pm,13,2,30 minutes,9 years,14 years,"TUTENTSTEIN is a resurrected ten-year-old boy mummy who thinks that he is still King Tuten-Astennu, Pharaoh and ruler of the world. Little does he understand that three millennia have passed and everything around him has changed. The show’s educational co",2,N/A,N/A,N/A
2004,KGW,NBC,"Portland, OR",3,Analog,Trading Spaces: Boys vs. Girls,Core,Network,Sundays/430pm,13,0,30 minutes,9 years,14 years,"TRADING SPACES: BOYS VS. GIRLS Boys and girls get to show how well they know each other, how effectively they can manage a budget, and how skillfully they can execute a design plan in Trading Spaces: Boys vs. Girls. Each week a boy or girl will be given t",99,N/A,N/A,N/A
2004,KGW,NBC,"Portland, OR",3,Analog,Jack Hanna Animal Adventures,Non-Core,Syndicated,11/6/2004 @ 11:00am,1,12,30 minutes,13 years,16 years,"Jack Hanna spends time with nature's creatures across the continents and talks with people who are knowledgeable about each animal and habitat, teaching as he goes. Each episode of the series is designed to reveal to children the world around them in a wa",N/A,N/A,N/A,N/A
2004,KKEI-CA,Univision Programming Service,"Portland, OR",3,Analog,Complices Al Rescate,Core,Network,Saturdays/Sundays @ 8:30am,26,0,90 minutes,7 years,12 years,"A significant purpose and key educational objective of this program is to illustrate how friendship, love and kindness can help overcome life’s adversities. Complices al Rescate (“Friends to the Rescue”) follows the lives of two eleven-year-old girls, Sil",99,N/A,N/A,N/A
2004,KNMT,Trinity Broadcasting Network,"Portland, OR",4.11,Analog,The Dooley & Pals Show,Core,Network,Saturdays/7:00am,11,2,30 minutes,2 years,5 years,"The Dooley & Pals Show educates and entertains children between the ages of two and five, using music, dance and discovery to teach life lessons, develop social skills and stimulate learning.",0,N/A,N/A,N/A
2004,KNMT,Trinity Broadcasting Network,"Portland, OR",4.11,Analog,Kids 10 Commandments,Core,Network,Saturdays/7:30am,11,2,30 minutes,9 years,16 years,"Kids 10 Commandments educates youth ages nine to sixteen through animated, real life situations the importance and value of living by God's rules.",0,N/A,N/A,N/A
2004,KNMT,Trinity Broadcasting Network,"Portland, OR",4.11,Analog,Colby's Clubhouse,Core,Network,Saturdays/8:00am,8,5,30 minutes,6 years,12 years,Colby's Clubhouse educates and informs children between the ages of six and twelve about how to successfuly deal with everyday situations and challenges using the principles of the Bible.,0,N/A,N/A,N/A
2004,KNMT,Trinity Broadcasting Network,"Portland, OR",4.11,Analog,The Knock Knock Show,Core,Network,Saturdays/8:30am,11,2,30 minutes,2 years,7 years,"The Knock Knock Show educates and informs children between the ages of two and seven about the world, as well as teaching math, language and basic problem solving skills.",0,N/A,N/A,N/A
2004,KNMT,Trinity Broadcasting Network,"Portland, OR",4.11,Analog,Mr. Henry's Wild & Wacky World,Core,Network,Saturdays/9:00 am,11,2,30 minutes,4 years,10 years,"Mr. Henry's Wild & Wacky World educates children ages four to ten using stories, games and puzzles to teach social and personal skills.",0,N/A,N/A,N/A
