Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of EI programs,Core or Non-core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days
2004,KBVO,Telefutura Network Programming,"Austin, TX",9.96,Analog,"Amy, la Nina de la Mochila Azul",Core,Network,Mon-Fri 5-6PM,44,4,60,7,12,"A significant purpose and key educational objective of this program is to illustrate how determination, friendship, and love can overcome life’s obstacles. Amy, a beautiful baby girl drifts ashore after a storm at sea and is found by captain Matias and his wife Perla. This very loving family raise Amy to become a compassionate and loving girl. Unfortunately, their lives change, when Perla falls into the sea and loses her life during a storm. Distraught by the loss of his wife, Matias refuses to go near the sea, and quits his job as a fisherman. Matias and Amy face many hardships together, but Amy makes the best of the situations that arise and is happy as long as she has her father’s love. With Amy, Matias, and their many friends, viewers learn about the importance of family, friendship, faith, and perseverance.",0,N/A,N/A,N/A
2004,KBVO,Telefutura Network Programming,"Austin, TX",9.96,Analog,El Lagartijo de Ned,Core,Network,Saturdays 7-7:30AM,12,1,30,7,12,"A significant purpose and key educational objective of this half-hour program is to illustrate problem solving and sharing. Ned feeds his pet newt ""Zippo Newt Food"" and turns it into a five hundred-pound monster called Newton, the most mischievous, gluttonous, and empathetic playmate ever. Newton can camouflage himself to avoid detection, and he is Ned's pal for life. But just when Ned needs giant Newton the most, the newt shrinks down to four inches again. Ned's and Newton's adventures with Ned's parents, friends, and the school bully teach young viewers about responsibility, friendship, sharing, and problem-solving.",0,N/A,N/A,N/A
2004,KBVO,Telefutura Network Programming,"Austin, TX",9.96,Analog,Alegreijes Y Rebujos,Core,Network,Mon-Fri 5-6PM,18,0,60,7,12,"A significant purpose and key educational objective of this children's novella is to show the importance of community and perseverance during trial. Sofia, a girl who is faced with a jealous stepmother, an inattentive father and a mean brother, meets Don Darvelio, an eccentric millionaire, and Alfonso, a ""savage"" boy. Together they learn the meaning of true friendship and love. Don Darvelio, who had secluded himself from society by hiding in his haunted mansion, finds the happiness he had always dreamed of when he meets Sofia and Alfonso. He names Sofia and Alfonso ""Happies,"" which to him are people who enjoy life and never lose hope through good and bad times. Sofia, Alfonso and their neighborhood friends come together and employ the values of the ""Happies"" to overcome the evil of the ""Grumpies,"" those who are unloving, materialistic, jealous and selfish. Through their incredible adventures, viewers learn important life lessons about love, friendship, truthfulness, fair competition and happiness.",99,N/A,N/A,N/A
2004,KBVO,Telefutura Network Programming,"Austin, TX",9.96,Analog,Plaza Sesamo,Core,Network,Sat & Sun 7:30-8AM,25,1,30,2,7,"A significant purpose and key educational objective of this hour program is to teach young children the importance of different cultures and traditions. Children will easily identify with the main characters: Abelardo, Contreras, and Lola. These animated personalities will help children develop a better understanding of the world around them through their stories. Throughout the shows, these characters not only reinforce and expose the Spanish language to native and non-native Spanish speakers, but also teach children valuable lessons that include problem solving, gender equity, symbolic representation, and social interaction.",0,N/A,N/A,N/A
2004,KBVO,Telefutura Network Programming,"Austin, TX",9.96,Analog,Bob El Constructor,Core,Network,Sat & Sun 8-8:30AM,25,1,30,2,7,"A significant purpose and key educational objective of this half-hour program is to illustrate friendship and problem solving. Bob and his gang of building machines, Scoop the digger, Muck the bulldozer, Dizzy the cement mixer, Lofty the Crane and Roley the steamroller, come together as a team to help each other out of trouble and solve problems.",0,N/A,N/A,N/A
2004,KBVO,Telefutura Network Programming,"Austin, TX",9.96,Analog,Los Conejitos Torpes,Core,Network,Saturdays 8:30-9AM,12,1,30,5,10,"A significant purpose and key educational objective of this program is to illustrate the importance of family and working together to overcome mistakes. Throughout the shows, the Dumb Bunny family gets into various problems and adventures, but always manage to work together to solve their problems.",0,N/A,N/A,N/A
2004,KBVO,Telefutura Network Programming,"Austin, TX",9.96,Analog,Cuentos de la Cripta,Core,Network,Saturdays 9-9:30AM,11,2,30,7,12,"In this half-hour show, fanciful characters, such as the Old Witch, the Mummy, the Werewolf, and the Vampire, take children on a journey through the outrageous world of the crypt and introduce a variety of educational subjects and messages.",0,N/A,N/A,N/A
2004,KBVO,Telefutura Network Programming,"Austin, TX",9.96,Analog,Patrulla de Sepitos,Core,Network,Sundays 9-9:30AM,11,2,30,7,12,"A significant purpose and key educational objective of this half-hour program is to illustrate the importance of discovering oneself and friendship. Eight toadlets who miss the migration to Toad Hollow, a peaceful and protected haven for toads, are lost and stranded in an unknown world, where they have to survive and confront their problems as a team. Through their amazing quest, the toad patrol teach young children many lessons about friendship, trust, caring, and sharing, empathy, caution, determination, self-esteem, responsibility, selflessness, sacrifice, and respect for others.",0,N/A,N/A,N/A
2004,KBVO,Telefutura Network Programming,"Austin, TX",9.96,Analog,El Nino Que Vino del Mar,Non-Core,Network,Sundays 6-7AM,13,0,60,7,12,"A significant purpose and key educational objective of this program is to show how love can overcome life's obstacles. Felipin is a happy little boy who is on his way with his mother to meet his estranged father, when they are shipwrecked at sea. Felipin drifts ashore on a lifeboat and is found by a kind young woman named Nisa, who takes care of Felipin when she finds out that his mother is said to be dead. Felipin is distraught by the loss of his mother and has lost the chance to finally meet his father. Along with Nisa and his new found friends, Felipin learns important life lessons about family, love, friendship, truthfulness, and faith.",99,N/A,N/A,N/A
2004,KDAS-CA,Univision Programming Service,"Austin, TX",3,Analog,Complices al Rescate,Core,Network,Sat & Sun 7:30-9AM,26,0,90,8,12,"A significant purpose and key educational objective of this program is to illustrate how friendship, love and kindness can help overcome life’s adversities. Complices al Rescate (“Friends to the Rescue”) follows the lives of two eleven-year-old girls, Silvana and Mariana, who have both experienced sadness, loss, and injustice in their lives. Throughout the shows, the girls learn to appreciate that happiness is not found in popularity and money, but in true friendship, and goodwill toward others and love.",99,N/A,N/A,N/A
