Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of Program,Core or Non-core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days
2005,KABC-TV,ABC-TV,Los Angeles,3,Analog,LILO & STITCH: THE SERIES,Core,Network,Saturdays/8:00-8:30 AM PT,14,0,30,7,10,"Lilo, a precocious girl of about five, and her alien pet “Stitch” live with Lilo’s sister Nani. Nani is trying to keep their little family together after the tragic death of their parents in an automobile accident. Although still a teen herself, Nani works several jobs and struggles to be an adult role model for Lilo. Two alien characters, Jumba and Pleakley, who arrived on planet Earth at the same time as Stitch, live with Nani and Lilo while pretending to be their aunt and uncle. This ploy is intended to convince the Department of Social Services that the household is well managed and there is no need for foster-care placement for Lilo. Series episodes illustrate developmentally appropriate issues, among which are peer pressure, coping with bereavement, family and school rules and problem solving. Stories convey messages about truthfulness, responsibility, acceptance and trust. The series includes Hawaiian language, music, dance and custom, exposing our broad ABC audience to the richness of Pacific Rim culture.",99,N/A,N/A,N/A
2005,KABC-TV,ABC-TV,Los Angeles,3,Analog,THE BUZZ ON MAGGIE,Core,Network,Saturdays/8:30-9 AM PT,14,0,30,10,12,"Episodes of “the Buzz on Maggie” take place in a fanciful world in which all characters are insects. Maggie is a young fly who is proud of her individuality, especially her musical talent. She plays acoustical guitar, aspires to be a rock musician, has dyed her hair pink, and dresses in bold and colorful outfits. She is apt to rush into action without thinking. Maggie makes huge mistakes, but her heart is true. Maggie has an extremely athletic, good-looking but conceited older brother, as well as two younger siblings, Pupert and baby Bella, for whom she is often responsible. Pupert is sweet and a bit timid, in contrast with Maggie’s natural bravado. Episodes of “The Buzz on Maggie” explore topical issues such as sibling rivalry, family rules and values, allowances and vacation plans, friendship, honesty, school and community.",99,N/A,N/A,N/A
2005,KABC-TV,ABC-TV,Los Angeles,3,Analog,THE PROUD FAMILY,Core,Network,Saturdays/9:00-9:30 AM PT,14,0,30,10,13,"“The Proud Family” revolves around the daily activities of fourteen-year-old Penny Proud and her African-American family consisting of parents Trudy Proud (a veterinarian) and Oscar Proud (self-employed businessman), a no-nonsense Grandmother Suga Mama who resides with the family, twin sisters BeBe and CeCe. Penny’s friends Dijonay and Sticky, and the neighboring Boulevardez family, whose daughter, La Cienega, is Penny’s rival. Teachers and classmates also populate the stories. The majority of the characters in this children’s series are ethnic minorities. Penny faces the struggles of adolescence along with the challenge of balancing academic life (middle school) and home obligations. Series episodes explore issues particularly relevant to 10 to 13 year olds: maintaining social relationships, overcoming self-doubt, standing up for one’s beliefs, dealing with peer pressure, relating to authority and rules, assuming responsibility, appreciating differences (gender, race, and generational), maintaining loyalty to family, and cultivating values such as honesty and persistence.",99,N/A,N/A,N/A
2005,KABC-TV,ABC-TV,Los Angeles,3,Analog,THAT'S SO RAVEN,Core,Network,Saturdays/9:30-10:00 AM PT,14,0,30,10,13,"Raven, a young teen who has inherited her grandmother’s trait of clairvoyance, is a normal, happy and resourceful young woman. However, at times Raven worries that she is a “freak” because of her clairvoyant abilities. She has a younger brother, Cory, age ten. They are typical siblings, with the tension and rivalry that most siblings experience. Raven attends public high school. Both parents are employed outside the home. They are loving parents, and good disciplinarians. Raven is often responsible for the after-school safety and activities of her brother, Cory. Her closest friends are Chelsea and Eddie, who are fiercely committed to environmental issues and sports, respectively. Raven’s parents and closest friends know about her “visions” of the immediate future. The premonitions often prompt her to attempt to intervene before trouble occurs. Sometimes Raven’s interventions backfire, and at other times the foreseen events come true, bringing embarrassment or sadness. Raven learns valuable lessons from her blunders and transgressions. Thus, the “visions” set up issues that the Core episodes of this series explore. The series uses humor to convey strong, relevant messages about growing up. Some of the issues that are the focus of episodes are sibling rivalry, popularity, loyalty, self-acceptance, dealing with authority (school and parental), honesty, coping with jealousy, and consequences of lying or cheating.",99,N/A,N/A,N/A
2005,KABC-TV,ABC-TV,Los Angeles,3,Analog,THE SUITE LIFE OF ZACK AND CODY,Core,Network,Saturdays/10-10:30 AM PT,11,3,30,11,13,"Those episodes of “The Suite Life of Zack and Cody” that air on ABC as Core Programming address concerns close to the hearts of older children and tweens and deliver life lessons tailored for that audience. Our stories take place in a luxury hotel in Boston, where twelve-year-old identical twins Zack and Cody live with their divorced mom, a lounge singer for the Tipton Hotel. The boys attend the local public middle school and are in the same class. One of the twins is polite and shy and excels in academics, while the other, an athlete and extrovert, barely scrapes by in school, due to disinterest and lack of effort, and instead often instigates wacky plans for outwitting hotel authorities, caregivers, and their mother. The boy's mother dates and would like to remarry. Their father is a professional rock musician who is on the road much of the year, but who stays in touch with his boys. This sets up occasional parental “conflicts” about discipline and expectations. Parallel stories involve two teenage girls: heiress London Tipton, whose father owns the hotel, and Maddie, the girl who works after school at the hotel snack bar. Unlike London, Maddie attends a parochial girls’ school and comes from a working class family. Both Zack and Cody have crushes on Maddie, who is four years older than they. Series episodes explore sibling rivalry, conflicts with parents, divorce, household and hotel rules, family income limitations, responsibility, self-esteem, and peer pressure. The October 8 and December 3, 2005 episodes were preempted due to live ABC Sports coverage of college football. The November 26, 2005 episode was preempted due to live ABC Sports coverage of PGA Tour golf.",3,N/A,N/A,N/A
2005,KABC-TV,ABC-TV,Los Angeles,3,Analog,PHIL OF THE FUTURE,Core,Network,Saturdays/10:30-11 AM PT,11,3,30,10,12,"“Phil of the Future” is the story of a teenage boy, Phil Diffy, his younger sister, Pim, and their parents, who find themselves living in the 21st century when their time travel vehicle malfunctions in flight. While their goal is to repair the time travel vehicle and return to their home in the 22nd century, for the time being they must conceal their identities, their futuristic traits and their gadgets to “blend in” with the locals. The Diffys enroll Phil and Pim in public school, where Phil excels in higher math and Pim, who is a rebel by nature, must learn to live by middle school rules. The series conveys relevant messages about growing up. Some of the issues that are explored in this series are sibling rivalry, responsibility, dealing with authority (parent/child and teacher/student conflicts), peer pressure, self-acceptance, loyalty, and honesty. The October 8 and December 3, 2005 episodes were preempted due to live ABC Sports coverage of college football. The November 26, 2005 episode was preempted due to live ABC Sports coverage of PGA Tour golf.",3,N/A,N/A,N/A
2005,KABC-TV,ABC-TV,Los Angeles,3,Analog,NBA INSIDE STUFF,Non-Core,Network,Sunday's 3:00-3:30 pm-PST,11,2,30,12,16,"NBA Inside Stuff, provides a unique behind the scenes at the NBA and all the personalities that surrond it. Executive Producer and host, and co-host Summer Sanders will add their personal to exclusive footage that goes where no fans have had access before",1,N/A,N/A,N/A
2005,KABC-TV,ABC-TV,Los Angeles,3,Analog,TEEN KIDS NEWS,Non-Core,Syndicated,11/19 & 12/31 @ 1:00-1:30 pm-PST,2,0,30,12,16,"Kids anchoring and reporting on important global, national and local news stories from a kid's perspective. This program helps teens and children better understand important current events.",99,N/A,N/A,N/A
2005,KABC-TV,ABC-TV,Los Angeles,3,Analog,CONNECT WITH KIDS,Non-Core,Syndicated,11/20 & 12/18 @ 4:00-4:30 pm-PST,2,0,30,12,16,"Connect With Kids is a reality-based and feature a peer-to-peer format program that engages children, parents and teachers in a way that moves them to action. All of our programs have one focus: improving the lives of children and along the way, helping parents become better parents.",99,N/A,N/A,N/A
2005,KABC-TV,ABC-TV,Los Angeles,3,Analog,CHILDREN'S MIRACLE NETWORK SPECIAL,Non-Core,Syndicated,12/10 @ 6:30-7:30 pm-PST,1,0,60,9,16,"Children's Miracle Network is a non-profit organization founded in 1983. Its mission is to generate funds and awareness programs for children and associated hospitals. CMN began as an effort to produce a high-quality national television special to raise money for hospitalized children. When the CMN telethon first aired from a small studio, it was broadcast by 30 television stations. It yielded $4.7 million. Today CMN is the largest television fund raiser of its kind in the world.",99,N/A,N/A,N/A
