Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of Program,Core or Non-core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days
2002,KABC-TV,ABC-TV,Los Angeles,3,Analog,DISNEY'S TEAMO SUPREMO,Core,Network,Saturdays/7:00-7:30 AM PT,10,3,30,7,10,"“Disney's Teamo Supremo” feature three elementary school children who are superheroes. Crandall, Brenda and Hector (a Hispanic boy) possess high-tech tools, which give them extraordinary physical powers. These enable them to help the state Governor and Chief of Police to restore law and order threatened by villains or criminals and those who would exploit the innocent or weak. Working as a team, the children use their wits to foil and apprehend evildoers, yet they must still do their homework and finish household chores when a Teamo adventure is done! The series features plots that depict flexible thinking, problem solving and positive values. Among the values that this series explores are: facing fears and self-doubt, standing up for one’s beliefs, dealing with peer pressure, relating to authority, dealing with rules/fairness, appreciating differences, maintaining loyalty to family, and persevering. Note: The episode rescheduled for 10/26/02 at 4:00 PM was joined in progress 19:59 late due to an unanticipated overrun in the college football game that preceded it.",3,N/A,N/A,N/A
2002,KABC-TV,ABC-TV,Los Angeles,3,Analog,DISNEY'S RECESS,Core,Network,Saturdays/7:30-8:00 AM PT,10,3,30,8,12,"""Disney's Recess"" is a collection of stories about six fourth-grade children who attend public school. These children are an ethnically diverse and gender-diverse group. Their experiences at Third Street School deliver messages about problems common to middle childhood: conflicts with authority figures, school and family rules, issues of fairness, peer pressure and coping with disappointment. A number of episodes revolve around class bullies or conflicts with teachers' favored students. Series episodes provide opportunities for parent/child discussions about values.",3,N/A,N/A,N/A
2002,KABC-TV,ABC-TV,Los Angeles,3,Analog,DISNEY'S FILLMORE,Core,Network,Saturdays/8:00-8:30 AM PT,10,3,30,9,12,"“Fillmore!” is a detective series that takes place in a middle school. The stars of the stories are the members of X Middle School’s Safety Patrol, a multi-ethnic group of youth who wear the orange sash and badge of peer authority. They investigate and foil misdeeds in the school setting. Cornelius Fillmore, a boy with a history of disciplinary problems, upon entering X Middle School, resolved to change his ways. He joined the Safety Patrol, focusing keen problem-solving skills and physical prowess in service of order and fairness. His Safety Patrol partner, the brilliant Ingrid Third, had also had disciplinary problems. She had attended a number of schools. Ingrid and Fillmore work to detect clues as to the identity of perpetrators of school mischief such as bullying, cheating, theft, graffiti, scams, and prejudicial behavior. Series episodes illustrate developmentally appropriate issues, among which are competition and peer pressure, coping with change, improving relationships with teachers and administrators, and dealing with family rules. Within the mystery plots are woven messages about honor, conscience and trust.",3,N/A,N/A,N/A
2002,KABC-TV,ABC-TV,Los Angeles,3,Analog,DISNEY'S RECESS,Core,Network,Saturdays/8:30-9:00 AM PT,10,3,30,8,12,"""Disney's Recess"" is a collection of stories about six fourth-grade children who attend public school. These children are an ethnically diverse and gender-diverse group. Their experiences at Third Street School deliver messages about problems common to middle childhood: conflicts with authority figures, school and family rules, issues of fairness, peer pressure and coping with disappointment. A number of episodes revolve around class bullies or conflicts with teachers' favored students. Series episodes provide opportunities for parent/child discussions about values.",3,N/A,N/A,N/A
2002,KABC-TV,ABC-TV,Los Angeles,3,Analog,LIZZIE MCGUIRE,Core,Network,Saturdays/9:00-9:30 AM PT,10,3,30,9,12,"""Lizzie McGuire"" is the story of an ingenious twelve-year-old girl who attends an ethnically diverse middle school. Her best friends are Miranda, a feisty Hispanic girl, and a boy named Gordo. Lizzie has a gifted younger brother who is frequently the source of conflict. Their parents handle their children's crises with humor and affection. Stories are realistic, revolving around school issues, rules, peer pressure, the struggle to find a comfortable identity, trust, facing one's mistakes, and the emotional ups-and-downs of pre-adolescence. Particular strengths of this series are its believability and the creation of a live action series that features a strong, positive girl in the lead role.",3,N/A,N/A,N/A
2002,KABC-TV,ABC-TV,Los Angeles,3,Analog,THE PROUD FAMILY,Core,Network,Saturdays/9:30-10:00 AM PT,10,3,30,10,13,"“The Proud Family” revolves around the daily activities of fourteen-year-old Penny Proud and her African-American family consisting of parents Trudy Proud (a veterinarian) and Oscar Proud (self-employed businessman), a no-nonsense Grandmother Suga Mama who resides with the family, twin sisters BeBe and CeCe. Penny’s friends Dijonay and Sticky, and the neighboring Boulevardez family, whose daughter, La Cienega, is Penny’s rival. Teachers and classmates also populate the stories. The majority of the characters in this children’s series are ethnic minorities. Penny faces the struggles of adolescence along with the challenge of balancing academic life (middle school) and home obligations. Series episodes explore issues particularly relevant to 10 to 13 year olds: maintaining social relationships, overcoming self-doubt, standing up for one’s beliefs, dealing with peer pressure, relating to authority and rules, assuming responsibility, appreciating differences (gender, race, and generational), maintaining loyalty to family, and cultivating values such as honesty and persistence.",3,N/A,N/A,N/A
2002,KABC-TV,ABC-TV,Los Angeles,3,Analog,"BOO! TO YOU, TOO, WINNIE THE POOH!",Non-core,Network,10/25/2002 / 8:30-9:00 PM PT,1,0,30,3,6,Pooh and the gang endure a wild adventure through the 100 Acre Wood as they help Piglet overcome his fear of Halloween.,99,N/A,N/A,N/A
2002,KABC-TV,ABC-TV,Los Angeles,3,Analog,A WINNIE THE POOH THANKSGIVING,Non-core,Network,11/21/2002 / 8:30-9:00 PM PT,1,0,30,3,6,"This special follows Pooh and the gang's antics on a wild search for the ingredients for a perfect Thankgiving feast. When the search goes awry, Pooh and his pals frantically assemble a hysterically untraditional holiday dinner - and ultimately learn that Thanksgiving is about being thankful for what you have, not what you think you should have.",99,N/A,N/A,N/A
2002,KABC-TV,ABC-TV,Los Angeles,3,Analog,THE AMERICAN ATHLETE,Non-core,Syndicated,Saturday's 5:30-6:00AM-PT plus misc. times as a second run on Saturday or Sunday when possible.,19,1,30,8,16,The American Athlete is a program designated to excite older children and teenagers into the world of sports. Interviews with major sports figures and interactivity with ost: Byron Allen highlight the program.,1,N/A,N/A,N/A
2002,KAZA,Azteca America,Los Angeles,3,Analog,CHATO Y SUS AMIGOS,Core,Network,Sat/Sun 7A-830A,26,0,90,2,7,"The educational and informational purpose of ""Chato y Sus Amigos"" is to teach children, utilizing puppets, about values, such as friendship, caring about family and nature. In addition, it strengthens math skills, such as counting, addition, subtraction, multiplication and divisiion, and identification of geometric figures.",99,N/A,N/A,N/A
2002,KCAL,N/A,Los Angeles,3,Analog,CRITTER GITTERS,Core,Syndicated,"Saturday, 7:00am",13,0,30,9,14,"In this series, a group of neighborhood kids join forces with two veterinarians and an inventive professor to become a search and rescue unit, a detective agency and a police force for animals. The ""Critter Gitters"" solve moral and ethical dilemas that face children in everyday life.",99,N/A,N/A,N/A
