Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of EI programs,Core or Non-core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days
2000,WCPO,ABC,Cincinnati,4,Analog,"SABRINA, THE ANIMATED SERIES",Core,Network,Saturdays 9AM ET(as of 10/14/00),12,0,30,8,12,"Twelve-year-old Sabrina Spellman, who is half witch and half mortal, is being raised in a non-traditional family consisting of her Uncle Quigley and two young aunts. Series episodes explore social and developmental issues such as peer pressure/competition, loyalty and friendship, responsibility, honesty, facing fears, speaking up for one's beliefs, etc. Family issues such as divorce and remarriage and household rules are also addressed.",99,N/A,N/A,N/A
2000,WCPO,ABC,Cincinnati,4,Analog,DISNEY'S ONE SATURDAY MORNING (FEATURING LONG AND SHORT-FORM EDUCATIONAL ELEMENTS),Core,Network,Saturdays 9:30-11:30 AM ET,13,0,120,8,12,"Disney's One Saturday Morning (Featuring Long and Short-Form Educational Elements) This two-hour program block features three half-hour educational series in combination with various short-form educational elements. The latter include ""Find Out Why"" (physical science shorts produced in association with the National Science Foundation), ""Great Minds...Think For Themselves"" (American history segments voiced by Robin Williams), ""What's My Name?"" (facts about interesting figures in world history), ""What's the Diff?"" (game segments that teach visual discrimination and analytical skills), ""Let's Go!"" (geography and cultural information segments) and ""Flyndiggery Do: Where'd It Go?"" (short segments describing animal behavior). ""Disney's Recess"" is a collection of animated stories about six fourth-grade children who attend public school. These children are an ethnically and gender-diverse group. Their experiences at Third Street School deliver messages about problems common to middle childhood: conflicts with authority figures, school and family rules, issues of fairness, peer pressure and coping with disappointment. A number of episodes revolve around class bullies or ""teacher's pets."" Series episodes provide opportunities for parent/child discussions about values. ""Disney's The Weekenders"" introduces four twelve-year-olds who have been friends since kindergarten. They attend middle school in southern California and spend time together on weekends. Their family circumstances are diverse: Tino is the only son of a single mother; Carver is the middle child in an affluent African-American family; Tish comes from an Eastern European immigrant family and Lor is the only girl among fourteen sports-minded brothers. Stories explore topics such as parent/child relations, sibling rivalry, acculturation, competition vs. compromise, responsibility, honesty, peer acceptance and loyalty. ""Disney's Teacher's Pet"" Via a magical transformation, nine-year-old Leonard Helperman's dog ""Spot"" discovers that he is able to talk and walk upright. He seizes the opportunity to fulfill a lifelong ambition: to go to school. Dressed in some of Leonard's clothes, Spot becomes ""Scott Leadready,"" reveling in the challenge of learning fourth-grade spelling, math and history. The fourth-grade teacher, Mrs. Helperman, is Leonard's mother. She is also a single parent. This series is built around the privilege of being able to attend school and value of education. Stories teach honesty, cooperation, peer team work, problem-solving, respect for rules--particularly in the school setting--and empathy. ""Spot/Scott's"" extraordinarily wide vocabulary introduces children to new vocabulary and its meaning in context.",99,N/A,N/A,N/A
2000,WCPO,ABC,Cincinnati,4,Analog,JACK HANNA'S ANIMAL ADVENTURES,Core,Syndicated,Saturdays 1pm ET,9,4,30,13,16,"In each episode the cameras follow Jack as he spends time with nature’s creatures across the continents. Jack talks with people that are knowledgeable about each animal and habitat, teaching as he goes. Each episode is designed to reveal to children the world around them in a way that presents positive role models and pro-social values within an environmentally responsible universe.",N/A,N/A,N/A,N/A
2000,WCPO,ABC,Cincinnati,4,Analog,DEVEROES HIGH SCHOOL SPORTS SHOW,Core,Local,Saturdays at 12:30pm ET,13,4,30,13,16,"The Deveroes High School Sportshow is a half-hour news magazine program directed at teen between the ages of 13 to 16. The program features the pro-social, on and off the field activities of male and female student athletes, coaches, student mentors and student families. The show is focused around messages that encourage the following values: school completion, community service, cooperation, tolerance of differences, and healthful practices and athletics. These educational and informational messages are conveyed through real-life examples, interviews, and commentary by the program’s host. The program shows teens overcoming various obstacles and challenges in order to achieve their goals, and being awarded for their accomplishments. The youthful viewer identifies with the program messages not only because they see their peers, but also because they see their community, their school, and possibly, their friends. The adult caregivers can also rally around a local show, where the tangible examples of positive messages can be pointed to within their town.",N/A,N/A,N/A,N/A
2000,WCPO,ABC,Cincinnati,4,Analog,THE NEW ADVENTURES OF WINNIE THE POOH,Core,Network,Saturdays 7AM ET,13,0,30,3,6,"Based on the classic ""Winnie the Pooh"" books by author A.A. Milne, ""The New Adventures of Winnie the Pooh"" depicts the everyday lives of Christopher Robin and his companions Pooh, Piglet, Rabbit, Tigger, Eeyore, Owl and Gopher. Series episodes deliver strong messages about honesty, responsibility, persistence, cooperative effort, friendship and caring. Many stories are designed to help young children distinguish between fantasy and reality and overcome common childhood fears.",99,N/A,N/A,N/A
2000,WCPO,ABC,Cincinnati,4,Analog,DISNEY'S DOUG,Non-Core,Network,"Saturday 9:30am ET 10/7, Saturdays 6am ET 10/21",13,0,30,8,12,"This series uses humor and fantasy in depicting a twelve-year-old boy's struggles to develop self-confidence, define identity, resolve family and school problems and maintain friendships. Narrated via the journal entries of aspiring writer/cartoonist Doug Funnie, episodes promote values such as honesty, loyalty, fairness and respect for individual differences. These stories also encourage creative writing and artistic expression.",99,N/A,N/A,N/A
2000,WCPO,ABC,Cincinnati,4,Analog,DISNEY'S PEPPER ANN,Non-Core,Network,"Saturday 6am 10/7 & 10/14, Saturdays 6:30am as of 10/21",12,1,30,10,12,"Pepper Ann is the daughter of a single working mother. She loves math and science and hopes to some day make a name for herself in biology or medicine. Pepper Ann and her Hazelnut Middle School friends demonstrate individuality, problem solving, perseverance, responsibility and creativity. While the primary educational focus of the series is building self-esteem--particularly that of girls--stories also break down gender and ethnic stereotypes and broaden the definition of ""family.""",N/A,N/A,N/A,N/A
2000,WCPO,ABC,Cincinnati,4,Analog,"WINNIE THE POOH AND CHRISTMAS, TOO",Non-Core,Network,"Sunday 12/3/00, 7-7:30pm ET",1,0,30,3,6,"Based on the classic ""Winnie the Pooh"" books by A.A. Milne, "" Winnie the Pooh and Christmas, Too "" depicts Christopher Robin and his companions Pooh, Piglet, Rabbit, Tigger, Eeyore, Owl and Gopher, dealing with holiday gift giving. Each one comes to realize that holiday happiness is derived from giving, not receiving, and that ""Being with friends is the nicest gift of all.""",99,N/A,N/A,N/A
2000,WKRC,CBS,Cincinnati,3,Analog,BLUE'S CLUES,Core,Network,Saturdays 10:00-10:30AM,13,0,30,2,5,"In this series, a young adult host - together with Blue, a puppy whose personality and actions mirror those of a preschooler - brings viewers a variety of games, themes and concepts that are based on an age-appropriate educational curriculum. The program follows a narrative format, in which the host elicits contributions from the viewer to answer questions and move the action forward. The program's objectives include encouraging preschoolers to actively explore the world around them, fostering their problem-solving skills and independent reasoning, and creating a foundation of confidence and optimism for future learning. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",99,N/A,N/A,N/A
2000,WKRC,CBS,Cincinnati,3,Analog,DORA THE EXPLORER,Core,Network,Saturdays 10:30-11:00AM,13,0,30,2,5,"In this series seven-year-old Dora and her monkey travel companion Boots invite the audience to join them each week on a journey in which they will have to overcome various obstacles to reach an end goal. The series uses a CD-ROM/on-line adventure game format to encourage a variety of problem-solving strategies. The objectives of this program are to assist children in developing their problem-solving skills, reinforce their emerging cognitive skills, and make computers more familiar to them by introducing and using the conventions and vocabulary of computer games. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",99,N/A,N/A,N/A
