Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of Program,Core or Non-core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days
2001,KABC-TV,ABC-TV,Los Angeles,4,Analog,DISNEY'S TEACHER'S PET,Core,Network,Saturdays/7:00-7:30 AM PT (through 12/8/01); 7:30-8:00 AM PT(as of 12/15/01),12,1,30,8,12,"Via a magical transformation, nine-year-old Leonard Helperman's dog ""Spot"" discovers that he is able to talk and walk upright. He seizes the opportunity to fulfill a lifelong ambition: to go to school. Dressed in some of Leonard's clothes, Spot becomes ""Scott Leadready"", reveling in the challenge of learning fourth-grade spelling, math and history. The fourth grade teacher, Mrs. Helperman, is Leonard's mother. She is a single parent. This series celebrates the privilege of being able to obtain an education. Stories teach honesty, cooperation, team work, resourcefulness, respect for rules (particularly in the school setting) and empathy. ""Spot/Scott's"" wide vocabulary exposes the audience to new vocabulary, used in context.",1,N/A,N/A,N/A
2001,KABC-TV,ABC-TV,Los Angeles,4,Analog,DISNEY'S LLOYD IN SPACE,Core,Network,Saturdays/7:30-8:00 AM PT (through 12/8/01); Saturdays/10:00-10:30 AM PT(as of 12/15/01),12,1,30,8,12,"""Lloyd in Space"" is the story of an alien boy who attends Middle School in a galaxy far away. His mother, Nora, is the commander of the space station in Intrepidville, where Lloyd, his six-year-old sister Francine and his three buddies, Eddie, Kurt and Douglas live. Nora is a single parent. Many of the stories are set at school and invlove peer and friendship issues as well as school rules, procedures and authority conflicts. Episodes are designed to teach values, problem-solving, responsibility (as in a story about Lloyd's babysitting his younger sister, who runs away when he becomes overbearing, and several stories about taking responsibility for pets), and goal setting.",1,N/A,N/A,N/A
2001,KABC-TV,ABC-TV,Los Angeles,4,Analog,DISNEY'S RECESS,Core,Network,Saturdays/8:00-8:30 AM PT,12,1,30,8,12,"""Disney's Recess"" is a collection of stories about six fourth-grade children who attend public school. These children are an ethnically diverse and gender-diverse group. Their experiences at Third Street School deliver messages about problems common to middle childhood: conflicts with authority figures, school and family rules, issues of fairness, peer pressure and coping with disappointment. A number of episodes revolve around class bullies or conflicts with teachers' favored students. Series episodes provide opportunities for parent/child discussions about values.",1,N/A,N/A,N/A
2001,KABC-TV,ABC-TV,Los Angeles,4,Analog,DISNEY'S RECESS,Core,Network,Saturdays/8:30-9:00 AM PT,12,1,30,8,12,"""Disney's Recess"" is a collection of stories about six fourth-grade children who attend public school. These children are an ethnically diverse and gender-diverse group. Their experiences at Third Street School deliver messages about problems common to middle childhood: conflicts with authority figures, school and family rules, issues of fairness, peer pressure and coping with disappointment. A number of episodes revolve around class bullies or conflicts with teachers' favored students. Series episodes provide opportunities for parent/child discussions about values.",1,N/A,N/A,N/A
2001,KABC-TV,ABC-TV,Los Angeles,4,Analog,LIZZIE MCGUIRE,Core,Network,Saturdays/9:00-9:30 AM PT,11,2,30,9,12,"""Lizzie McGuire"" is the story of an ingenious twelve-year-old girl who attends an ethnically diverse middle school. Her best friends are Miranda, a feisty Hispanic girl, and a boy named Gordo. Lizzie has a gifted younger brother who is frequently the source of conflict. Their parents handle their children's crises with humor and affection. Stories are realistic, revolving around school issues, rules, peer pressure, the struggle to find a comfortable identify, trust, facing one's mistakes, and the emotional ups-and-downs of pre-adolescence. Particular strengths of this series are its believability and the creation of a live action series that features a strong, positive girl in the lead role..(*Note-10/20/01 episode was partially pre-empted for live breaking ABC News coverage of a briefing at the Pentagon).",1,N/A,N/A,N/A
2001,KABC-TV,ABC-TV,Los Angeles,4,Analog,EVEN STEVENS,Core,Network,Saturdays/9:30-10:00 AM PT,12,1,30,9,12,"""Even Stevens"" explores the day-to-day interaction between seventh grader Louis, a bright and unconventional boy, his eighth grade sister Ren, whose straight-A average and mature manner belie her vulnerability, and his two best friends. Louis is naturally funny and spontaneous. He is often the instigator of a prank or scheme-much to the embarrassment of his older sister. Ren's brains and superior organizational skills often make Louis feel clumsy and inadequate by comparison. They are loyal and loving siblings, although each marches to a very different beat. ""Even Stevens"" episodes are highly kid-relatable, focusing on family and brother-sister conflicts, responsibility, fairness, competition, goal-setting, self-esteem, problems with schoolmates and parent-child interaction.",1,N/A,N/A,N/A
2001,KABC-TV,ABC-TV,Los Angeles,4,Analog,"SABRINA, THE ANIMATED SERIES",Core,Network,Saturdays/10:00-10:30 AM PT (through 10/13/01),2,0,30,8,12,"Twelve-year-old Sabrina Spellman, who is half witch and half mortal, is being raised in a non-traditional family consisting of her Uncle Quigley and two young aunts. Series episodes explore social and developmental issues such as peer pressure/competition, loyalty and friendship, responsibility, honesty, facing fears, speaking up for one's beliefs, etc. Family issues such as divorce, remarriage and household rules are also addressed.",99,N/A,N/A,N/A
2001,KABC-TV,ABC-TV,Los Angeles,4,Analog,DISNEY'S THE WEEKENDERS,Core,Network,Saturdays/10:30-11:00 AM PT,10,3,30,9,12,"""The Weekenders"" introduces four twelve-year-olds who have been friends since kindergarten. They attend middle school in southern California and spend time together on weekends. Their family circumstances are diverse: Tino is the only son of a single mother, Carver is the middle child in an affluent African American family, Tish comes from an Eastern European immigrant family and Lor is the only girl among fourteen sports-minded brothers. Stories explore such topics as parent/child relations, sibling rivalry, acculturation, competition vs. compromise, responsibility, honesty, peer acceptance and loyalty.",3,N/A,N/A,N/A
2001,KABC-TV,ABC-TV,Los Angeles,4,Analog,THE NEW ADVENTURES OF WINNIE THE POOH,Core,Network,Saturdays/11:00-11:30 AM PT,10,3,30,3,6,"Based on the classic ""Winnie the Pooh"" books by author A.A. Milne, ""The New Adventures of Winnie the Pooh"" depicts the everyday lives of Christopher Robin and his companions Pooh, Piglet, Rabbit, Tigger, Eeyore, Owl and Gopher. Series episodes deliver strong messages about honesty, responsibility, persistence, cooperative effort, friendship and caring. Many stories are designed to help young children distinguish between fantasy and reality and overcome common childhood fears.",3,N/A,N/A,N/A
2001,KABC-TV,ABC-TV,Los Angeles,4,Analog,MARY-KATE AND ASHLEY IN ACTION,Core,Network,Saturdays/10:00-10:30 AM PT (as of 10/20/01); Saturdays/7:00-7:30 AM PT (as of 12/15/01),8,3,30,9,11,"""Mary-Kate and Ashley in Action"" features two well-known, real-life siblings in a fanciful scenario. They play actors performing roles in a weekly movie about two young special agents whose adventures take them all over the world. Their sister ""team"" relationship is one in which cooperation, logical deduction, inventiveness and humor triumph. Mary-Kate and Ashley's friendship with a fellow team member, Chinese-American sicteen-year-old Rod Choi, is a close one, as is their relationship with Hispanic team member Ivan Quintero. Ivan is extremely gifted at technical and mathematical matters; his electronic inventions are a great asset to the team. In addition to problem-solving strategies each episode teaches children values such as honesty, perseverence, kindness and respect for differences. As girls engaged in active, adventurous stories Mary-Kate and Ashley Olsen are particularly good role models for our school-aged audience",3,N/A,N/A,N/A
