Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of Program,Core or Non-core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days
2004,KABC-TV,ABC-TV,Los Angeles,3,Analog,LILO & STITCH: THE SERIES,Core,Network,Saturdays/8:00-830 AM PT,13,0,30,7,10,"Lilo, a precocious girl of about five, and her alien pet “Stitch” live with Lilo’s sister Nani. Nani is trying to keep their little family together after the tragic death of their parents in an automobile accident. Although still a teen herself, Nani works several jobs and struggles to be an adult role model for Lilo. Two alien characters, Jumba and Pleakley, who arrived on planet Earth at the same time as Stitch, live with Nani and Lilo while pretending to be their aunt and uncle. This ploy is intended to convince the Department of Social Services that the household is well managed and there is no need for foster-care placement for Lilo. Series episodes illustrate developmentally appropriate issues, among which are peer pressure, coping with bereavement, family and school rules and problem solving. Stories convey messages about truthfulness, responsibility, acceptance and trust. The series includes Hawaiian language, music, dance and custom, exposing our broad ABC audience to the richness of Pacific Rim culture.",99,N/A,N/A,N/A
2004,KABC-TV,ABC-TV,Los Angeles,3,Analog,DISNEY'S FILMORE,Core,Network,Saturdays/8:30-9:00 AM PT,13,0,30,9,12,"“Fillmore!” is a detective series that takes place in a middle school. The stars of the stories are the members of X Middle School’s Safety Patrol, a multi-ethnic group of youth who wear the orange sash and badge of peer authority. They investigate and foil misdeeds in the school setting. Cornelius Fillmore, a boy with a history of disciplinary problems, upon entering X Middle School, resolved to change his ways. He joined the Safety Patrol, focusing keen problem-solving skills and physical prowess in service of order and fairness. His Safety Patrol partner, the brilliant Ingrid Third, had also had disciplinary problems. She had attended a number of schools. Ingrid and Fillmore work to detect clues as to the identity of perpetrators of school mischief such as bullying, cheating, theft, graffiti, scams, and prejudicial behavior. Series episodes illustrate developmentally appropriate issues, among which are competition and peer pressure, coping with change, improving relationships with teachers and administrators, and dealing with family rules. Within the mystery plots are woven messages about honor, conscience and trust.",99,N/A,N/A,N/A
2004,KABC-TV,ABC-TV,Los Angeles,3,Analog,THE PROUD FAMILY,Core,Network,Saturdays/9:00-9:30 AM PT,11,2,30,9,12,"“The Proud Family” revolves around the daily activities of fourteen-year-old Penny Proud and her African-American family consisting of parents Trudy Proud (a veterinarian) and Oscar Proud (self-employed businessman), a no-nonsense Grandmother Suga Mama who resides with the family, twin sisters BeBe and CeCe. Penny’s friends Dijonay and Sticky, and the neighboring Boulevardez family, whose daughter, La Cienega, is Penny’s rival. Teachers and classmates also populate the stories. The majority of the characters in this children’s series are ethnic minorities. Penny faces the struggles of adolescence along with the challenge of balancing academic life (middle school) and home obligations. Series episodes explore issues particularly relevant to 10 to 13 year olds: maintaining social relationships, overcoming self-doubt, standing up for one’s beliefs, dealing with peer pressure, relating to authority and rules, assuming responsibility, appreciating differences (gender, race, and generational), maintaining loyalty to family, and cultivating values such as honesty and persistence.",2,N/A,N/A,N/A
2004,KABC-TV,ABC-TV,Los Angeles,3,Analog,THAT'S SO RAVEN,Core,Network,"Saturdays, 9:30- 10 am PT",11,2,30,10,13,"Raven, a young teen who has inherited her grandmother’s trait of clairvoyance, is a normal, happy and resourceful young woman. However, at times Raven worries that she is a “freak” because of her clairvoyant abilities. She has a younger brother, Cory, age ten. They are typical siblings, with the tension and rivalry that most siblings experience. Raven attends public high school. Both parents are employed outside the home. They are loving parents, and good disciplinarians. Raven is often responsible for the after-school safety and activities of her brother, Cory. Her closest friends are Chelsea and Eddie, who are fiercely committed to environmental issues and sports, respectively. Raven’s parents and closest friends know about her “visions” of the immediate future. The premonitions often prompt her to attempt to intervene before trouble occurs. Sometimes Raven’s interventions backfire, and at other times the foreseen events come true, bringing embarrassment or sadness. Raven learns valuable lessons from her blunders and transgressions. Thus, the “visions” set up issues that the Core episodes of this series explore. The series uses humor to convey strong, relevant messages about growing up. Some of the issues that are the focus of episodes are sibling rivalry, popularity, loyalty, self-acceptance, dealing with authority (school and parental), honesty, coping with jealousy, and consequences of lying or cheating.",2,N/A,N/A,N/A
2004,KABC-TV,ABC-TV,Los Angeles,3,Analog,PHIL OF THE FUTURE,Core,Network,Saturdays/10:00 -10:30 am PT,8,5,30,10,12,"“Phil of the Future” is the story of a teenage boy, Phil Diffy, his younger sister, Pim, and their parents, who find themselves living in the 21st century when their time travel vehicle malfunctions in flight. While their goal is to repair the time travel vehicle and return to their home in the 22nd century, for the time being they must conceal their identities, their futuristic traits and their gadgets to “blend in” with the locals. The Diffys enroll Phil and Pim in public school, where Phil excels in higher math and Pim, who is a rebel by nature, must learn to live by middle school rules. The series conveys relevant messages about growing up. Some of the issues that are explored in this series are sibling rivalry, responsibility, dealing with authority (parent/child and teacher/student conflicts), peer pressure, self-acceptance, loyalty, and honesty.",5,N/A,N/A,N/A
2004,KABC-TV,ABC-TV,Los Angeles,3,Analog,LIZZIE MCGUIRE,Core,Network,"Saturdays, 10:30-11 am PT",9,4,30,9,12,"""Lizzie McGuire"" is the story of an ingenious twelve-year-old girl who attends an ethnically diverse middle school. Her best friends are Miranda, a feisty Hispanic girl, and a boy named Gordo. Lizzie has a gifted younger brother who is frequently the source of conflict. Their parents handle their children's crises with humor and affection. Stories are realistic, revolving around school issues, rules, peer pressure, the struggle to find a comfortable identity, trust, facing one's mistakes, and the emotional ups-and-downs of pre-adolescence. Particular strengths of this series are its believability and the creation of a live action series that features a strong, positive girl in the lead role.",4,N/A,N/A,N/A
2004,KABC-TV,ABC-TV,Los Angeles,3,Analog,CONNECT WITH KIDS,Non-Core,Syndicated,"Sundays 10/3/04, 10/24/04, 11/07/04, 12/12/04 @ 4:30 pm",4,0,30,12,16,"Connect With Kids is the cornerstone of a media and community outreach initiative focused on important life skills, character education and positive youth development. These informative half-hour specials are produced for teens, plus for parents and younger children. These specials focus on important character traits or problems facing teens while providing tips for teens on how to respond to life situations. Print materials and an integrated website includes extensive video streaming and educational materials for teachers, parents and children also are provided. Local school districts participate by implementing a multi-media, video, internet and print-based program focused on life skills, prevention, school safety and character education.",99,N/A,N/A,N/A
2004,KABC-TV,ABC-TV,Los Angeles,3,Analog,TEEN KIDS NEWS,Non-Core,Syndicated,Saturdays @ 12Noon,13,8,30,12,16,"Kids anchoring and reporting on important global, national and local news stories from a kid's perspective. This programs helps teens and children better understand important current events.",8,N/A,N/A,N/A
2004,KABC-TV,ABC-TV,Los Angeles,3,Analog,THE AMERICAN ATHLETE,Non-Core,Syndicated,"Saturday 10/16/04, 10/23/04, 12/04/04, 12/18/04 12/25/04 @ 3:30 am; 10/30/04 @ 3:00am",6,0,30,12,16,"Interviews with major influential sports figures. Succesful athletes featured during this program describe what its takes in life to grow up succesful, how to define and reach your goals plus how to be prepared for everything life throws your way.",99,N/A,N/A,N/A
2004,KAZA,Azteca America,Los Angeles,2,Analog,MI GRAN AMIGO,Core,Network,Sat/Sun 7AM-7:30AM 10/2-12/26/04,26,0,30,2,7,"The educational value of ""Mi Gran Amigo"" is to teach children every day lessons. Each episode focuses on learning experiences, from properly brushing teeth, preparing for school, or caring for animals, to the value of time and other such subjects. The program is regularly scheduled and airs between the hours of 7 a.m. and 10 p.m. The program is 30 minutes in length and is educational and informational, targeted to young children 2-7 years old.",99,N/A,N/A,N/A
2004,KAZA,Azteca America,Los Angeles,2,Analog,LA CASA DE MARIA CHUZEMA,Core,Network,Sat/Sun 7:30AM-8AM,26,0,30,2,7,"The educational value of ""La Casa de Maria Chuzema"" features Maria Chuzema, the Fairy Princess of the enchanted village of Lilipun, along with her colorful and entertaining circus, captivating and educating children with songs, stories and art projects. The program is regularly scheduled and airs between the hours of 7 a.m. and 10 p.m. The program is 30 minutes in length and is educational and informational, targeted to young children 2-7 years old.",99,N/A,N/A,N/A
2004,KBEH,N/A,Los Angeles,27,Analog,GADGET BOY'S ADVENTURES IN HISTORY,Core,Syndicated,Mon-Fri / 7:00 AM & 10:30 AM,128,0,30,6,11,"The small, bionic and intelligent detective pursues evil Spydra traveling through time while correcting her misdeeds to set fact-based history right again, teaching world history.",99,N/A,N/A,N/A
2004,KBEH,N/A,Los Angeles,27,Analog,EL MUDNO DE LOS GNOMOS,Core,Syndicated,Mon-Fri / 7:30 AM,64,0,30,3,11,Takes viewers inside the incredible world of tiny Gnome beings who travel to all corners of the Gnome world & learn how to love & respect nature's treasures.,99,N/A,N/A,N/A
2004,KBEH,N/A,Los Angeles,27,Analog,HISTORIA DEL FUTBOL,Core,Syndicated,Mon-Fri / 8:00 AM & 2:00 PM,128,0,30,6,15,A comedy series where you can learn the official rules of soccer at various times in history.,99,N/A,N/A,N/A
2004,KBEH,N/A,Los Angeles,27,Analog,JAYCEE & THE WHEELED WARRIORS,Core,Syndicated,Mon-Fri / 8:30 AM & 2:30 PM,128,0,30,6,15,Jaycee & his crew teach children about varous types of plants & minerals around the world while attempting to extinguish an evil plant & his followers.,99,N/A,N/A,N/A
2004,KBEH,N/A,Los Angeles,27,Analog,KOLITAS,Core,Syndicated,Mon-Fri / 9:00 AM,64,0,60,2,6,"Educates & entertains young children about animals using songs, contests & many surprises.",99,N/A,N/A,N/A
2004,KBEH,N/A,Los Angeles,27,Analog,GADGET & HEATHER,Core,Syndicated,Mon-Fri / 10:00 AM,64,0,30,6,11,"The world's youngest bionic detective, his nanny & robotic dog teach good deeds while stopping evil around the world.",99,N/A,N/A,N/A
2004,KBEH,N/A,Los Angeles,27,Analog,MUNDO SALVAJE TOYOTA,Core,Syndicated,Sat-Sun / 2:30 PM & 3:30 PM,52,0,30,6,15,Real wildlife experiences educate children about animals & how they live & survive.,99,N/A,N/A,N/A
2004,KBEH,N/A,Los Angeles,27,Analog,HURRICANES,Non-Core,Syndicated,Mon-Fri / 6:00 AM,64,0,30,2,3,The fictional Hurricanes soccer team from South Africa tours the world to play matches while learning about foreign cultures.,99,N/A,N/A,N/A
2004,KBEH,N/A,Los Angeles,27,Analog,GADGET & HEATHER,Non-Core,Syndicated,Mon-Fri / 6:30 AM,64,0,30,6,11,"The world's youngest bionic detective, his nanny & robotic dog teach good deeds while stopping evil around the world.",99,N/A,N/A,N/A
2004,KBEH,N/A,Los Angeles,27,Analog,SONIC THE HEDGEHOG,Non-Core,Syndicated,Sat-Sun / 6:00 AM,26,0,30,7,12,"Sonic the Hedgehog, the #1 character recognized worldwide, is back on Planet Mobius & faster than ever! As the fearless leader of a group of freedom fighters, Sonic attempts to free the citizens of Mobius from the tyranny of the evil Dr. Robotnik. This quality series teaches good morals by doing good deeds.",99,N/A,N/A,N/A
2004,KBEH,N/A,Los Angeles,27,Analog,SUPER DUPER SUMOS,Non-Core,Syndicated,Sat-Sun / 6:30 AM,26,0,30,6,11,"This super-duper super-hero series features three gigantic, half-ton, 18-year old sumo wrestlers who are ""fish out of water"" with their ancient powers in our modern world. Running around in super-hefty-sized thongs, Mamoo, Boomer and Kimo go through a transformation sequence, doubling size and strength to protect the world from an evil force.",99,N/A,N/A,N/A
2004,KCAL,N/A,Los Angeles,3,Analog,CRITTER GITTERS,Core,Syndicated,"Saturdays, 7:00am",12,1,30,9,14,"In this series, a group of neighborhood kids join forces with two veterinarians and an inventive professor to become a search and rescue unit, a detective agency and a police force for animals. The ""Critter Gitters"" solve moral and ethical dilemmas that face children in every day life.",1,N/A,N/A,N/A
2004,KCAL,N/A,Los Angeles,3,Analog,JACK HANNA'S ANIMAL ADVENTURES,Core,Syndicated,"Monday - Friday, 7:30a",66,0,30,13,16,"""Jack Hanna's Animal Adventures"" is a live-action program. In each episode the camera follows Jack as he spends time with nature's creatures across the continents. Jack talks with people that are knowledgeable about each animal and habitat. He teaches and reveals to children the world around them in a way that presents positive animal role models and pro-social values within an envionmentally responsible universe.",99,N/A,N/A,N/A
