Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of EI programs,Core or Non-core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days
1998,WABU,N/A,"Boston, MA",6.5,Analog,Wild About Animals,Core,Syndicated,Saturdays 12:30-1PM,13,0,30,8,16,This show explores the non-traditional animal stories and teaches children the importance of animals and our environment.,99,N/A,N/A,N/A
1998,WABU,N/A,"Boston, MA",6.5,Analog,The Story Shop,Core,Local,Saturdays 8-8:30AM,13,0,30,3,6,"The Story Shop invites young children into the Shop to hear a story read by a famous personality. Story telling is taught as a means of communication. Regular visitors teach manners, respect for wild life and basic science.",99,N/A,N/A,N/A
1998,WABU,N/A,"Boston, MA",6.5,Analog,"Bill Nye, Science Guy",Core,Syndicated,Saturdays 11-11:30AM,13,0,30,6,11,This MTV like show uses humor and imagination to spark kid's interest in science. Bill Nye uses high energy and excitment to help make the most complex science questions easily understood,99,N/A,N/A,N/A
1998,WABU,N/A,"Boston, MA",6.5,Analog,Boopy's Buddies,Core,Syndicated,Mon-Fri 9-9:30AM,55,0,30,2,5,"Hosted by Jonathan Winters, Bloopy entertains and educates children on safety, health and fitness. Kids interact, jump around, and learn each day in Bloopyville.",99,N/A,N/A,N/A
1998,WABU,N/A,"Boston, MA",6.5,Analog,Think Fast,Core,Syndicated,Saturdays 7:30-8AM,13,0,30,11,13,"Think Fast uses speed and a racetrack atmosphere to teach kids the elements of science including intertia, friction and gravity. Kyle Petty is the adult race car driver who works with the 2 young hosts in the control center to solve this week's scientific problem.",99,N/A,N/A,N/A
1998,WABU,N/A,"Boston, MA",6.5,Analog,Click,Core,Syndicated,Saturdays 1-1:30PM,11,2,30,13,16,"CLICK is a quiz show that teaches kids what they should know based on what they do know. CLICK teaches kids to act on thier feet. Questions on this quiz show pertain to subjects teens study in school, including current events. CLICK also teaches the power of teamwork.",N/A,N/A,N/A,N/A
1998,WABU,N/A,"Boston, MA",6.5,Analog,Peer Pressure,Core,Syndicated,Saturdays 1:30-2PM,11,2,30,13,16,Peer Pressure is a lifesize gameboard that teens make their way around by making decisions. Peer Pressure teaches the long term effects of making quick decisions. Each square in the game board represents decisions teens will make in their life.,N/A,N/A,N/A,N/A
1998,WABU,N/A,"Boston, MA",6.5,Analog,Li'l Iguana,Core,Local,Saturdays 8-8:30AM,13,0,30,3,3,"L'il Iguana is a children's show hosted by Iguana the puppet and Ken Cheeseman. Both Ken and Iguana teach children safety and getting along with others. Other characters include Buk Worm, who teaches the importance of reading, and Dr. Tinkerton, who has a new creation to share with the kids each week.",99,N/A,N/A,N/A
1998,WABU,N/A,"Boston, MA",6.5,Analog,Homer's Workshop,Core,Syndicated,Saturdays 11:30-12PM,13,0,30,6,11,"Focused on an adult interaction environment, Homer's Workshop uses a workshop setting to teach children about the world around us, provide curiousity about the way things work, and come up with solutions while encouraging independence. Hosted by ""Homer"" this show is co-produced by Home Depot.",99,N/A,N/A,N/A
1998,WABU,N/A,"Boston, MA",6.5,Analog,Young America Outdoors,Non-Core,Syndicated,Saturdays 5-5:30AM,12,0,30,13,16,Safety and the environment are the key components to the YAO team. Teen hosts go on a different adventure each week and learn from guests and experts about the adventurous outdoors.,99,N/A,N/A,N/A
1998,WBPX,PAXTV,"Boston, MA",4,Analog,Cloud Nine- Saturday,Core,Network,Saturdays 7-9AM,13,0,120,5,9,"A trio of live-action teen angels have taken on the task of broadcasting children's programs hoping to inspire and inform children through their own issues which correspond to the many moral lessons depicted through the programs they broadcast. ZAK TALES - Zak is the Mayor of Fun Town. The costumed Zak offers children solutions to the universal problems associated with growing up, by drawing examples from classic children's literature with characters in similar plights, such as Robinson Crusoe, Tom Thumb and Sinbad. Zak and his sidekick, Kilroy, lead their viewers on adventures filled with exciting stories, jokes, sing-alongs and even a little rap poetry. THE SYLVANIAN FAMILIES - This animated series of bears, rabbits, racoons, mice, beavers and foxes who live in the Sylvanian Forest show they they have troubles like everyone else: fires, floods and storms. The villain Packbat and his sidekick, Gator Possum, add to their troubles. The Sylvanian Families band together to solve every problem, illustrating what a family is all about and allowing the audience to become a part of the family through their adventures. Some themes include pulling together, sharing resources and doing the right thing. THE TOOTHBRUSH FAMILY - The animated characters who live in the bathroom explore their environment on exciting adventures. The two brand new toothbrushes, Molly & Max, work with their friends, Flash, Fluoride, and Susie Sponge, to become responsible toothbrushes, relating to children on their way to becoming responsible grown-ups. GET ALONG GANG - In Green Meadows, there lives a merry group of animated animal friends, The Get Along Gang, who are always ready to lend a helping hand in their own caring and clever way. They travel through the countryside in the Clubhouse Caboose, sharing adventures and stories presenting themes illustrating respect, trust, teamwork, helping others in need and responsibility.",99,N/A,N/A,N/A
