Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of EI programs,Core or Non-core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days
2005,KAKW-CA,Univsion Programming Service,"Austin, TX",3,Analog,Vivan Los Ninos,Core,Network,Sat & Sun 7:30-9AM,27,0,90,8,16,"A significant purpose and key educational objective of this program is to show the value of diversity, friendship, and teamwork. Vivan Los Ninos (“Hooray for the Kids”) has an extensive cast of characters, reflecting a wide variety of socio-economic, racial and religious backgrounds and living in both single and two-parent households. This group of second-graders teach the viewers how they learn to respect each other’s differences and learn from each other through their adventures and stories.",99,N/A,N/A,N/A
2005,KBVO,Telefutura Programming Service,"Austin, TX",3.77,Analog,El Nino Que Vino el Mar,Core,Network,Sat & Sun 7-8AM,2,0,60,7,12,"A significant purpose and key educational objective of this program is to show how love can overcome life's obstacles. Felipin is a happy little boy who is on his way with his mother to meet his estranged father, when they are shipwrecked at sea. Felipin drifts ashore on a lifeboat and is found by a kind young woman named Nisa, who takes care of Felipin when she finds out that his mother is said to be dead. Felipin is distraught by the loss of his mother and has lost the chance to finally meet his father. Along with Nisa and his new found friends, Felipin learns important life lessons about family, love, friendship, truthfulness, and faith.",99,N/A,N/A,N/A
2005,KBVO,Telefutura Programming Service,"Austin, TX",3.77,Analog,Marcelino Pan Y Vino,Core,Network,Sundays 8:30-9AM,13,0,30,2,7,"This half-hour program about a little boy who is abandoned one night at the door of a Franciscan monastery shows how love and friendship can overcome life’s obstacles. Marcelino Pan y Vino lives a happy fulfilling life with twelve monks, his gypsy friends and forest animals. His curiosity about life and his parents leads him and his friends into many adventures that teach children the importance of individuality, imagination, dreams and love.",99,N/A,N/A,N/A
2005,KBVO,Telefutura Programming Service,"Austin, TX",3.77,Analog,Plaza Sesamo,Core,Network,Sat & Sun 9-9:30AM,27,0,30,2,7,"A significant purpose and key educational objective of this hour program is to teach young children the importance of different cultures and traditions. Children will easily identify with the main characters: Abelardo, Contreras, and Lola. These animated personalities will help children develop a better understanding of the world around them through their stories. Throughout the shows, these characters not only reinforce and expose the Spanish language to native and non-native Spanish speakers, but also teach children valuable lessons that include problem solving, gender equity, symbolic representation, and social interaction.",99,N/A,N/A,N/A
2005,KBVO,Telefutura Programming Service,"Austin, TX",3.77,Analog,Patrulla de Sapitos,Core,Network,Saturdays 8 & 8:30AM  28,28,0,30,7,12,"A significant purpose and key educational objective of this half-hour program is to illustrate the importance of discovering oneself and friendship. Eight toadlets who miss the migration to Toad Hollow, a peaceful and protected haven for toads, are lost and stranded in an unknown world, where they have to survive and confront their problems as a team. Through their amazing quest, the toad patrol teach young children many lessons about friendship, trust, caring and sharing, empathy, caution, determination, self-esteem, responsibility, selflessness, sacrifice and respect for others.",99,N/A,N/A,N/A
2005,KBVO,Telefutura Programming Service,"Austin, TX",3.77,Analog,Reino Animal,Core,Network,Sat & Sun 10:30AM,26,0,30,13,16,"This half-hour program educates young viewers on the natural habitat of animals in an educational, yet entertaining way. With narrations and interactive segments, the series builds upon natural science concepts, sparking a sense of curiosity in its viewers. The program discussed concepts like the functions of animals in an ecosystem, the elements of animal classification, and life sciences to help teach children about the natural world, while having fun at the same time.",99,N/A,N/A,N/A
2005,KEYE,CBS,"Austin, TX",3,Analog,Lazytown,Core,Network,Saturdays 9-9:30AM,14,0,30,2,11,"This program is anchored by Sportacus, a fit and agile hero, whose ""kryptonite"" is sugar, which makes him instantly lethargic. Sportacus and the program's cast of child characters are challenged in each episode with an issue or dilemma, and are opposed in their attempts to complete their mission by Robbie Rotten, who seeks to return Lazytown to its former lazy ways. The program seeks to impart to preschool and early school-aged children the importance of healthy living, and to help them understand the value of developing sound eating and physical exercise habits, while also providing them positive messages about friendship, empathy, self-respect, truthfulness and other age-appropriate life lessons. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",99,N/A,N/A,N/A
2005,KEYE,CBS,"Austin, TX",3,Analog,"Go, Diego, Go ",Core,Network,Saturdays 9:30-10AM ,14,0,30,2,5,"Go, Diego, Go is an interactive, informational series designed for preschool and early school-age children, in which Diego, a Latino eight year old who loves nature and animals, teams up with viewers to learn scientific facts and develop strategies in order to rescue animals in each episode. In addition to imparting knowledge about animals, their characteristics and habitats, the program also introduces children to Spanish words, which the viewer is asked to then use strategically, and to Latin American music, folktales and traditions. The educational objectives of the program are to provide children imaginative stories, through which they can develop knowledge of and concern for animals, their habitats, our environment, and to introduce them to another language and culture. By actively involving children in the resolution of each challenge, the program also seeks to impart to them the importance of strategic thinking, cooperation and teamwork in problem-solving. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",99,N/A,N/A,N/A
2005,KEYE,CBS,"Austin, TX",3,Analog,The Backyardigans,Core,Network,Saturdays 10-10:30AM,14,0,30,2,5,"This program centers on three preschool friends, who play together after school in a barrier-less backyard behind their adjacent homes. In each episode, the children imagine an adventure, and their yard is transformed into the setting for the action. The program uses both original and well-known songs to reveal emotion, explicate character and advance the stories. The educational objectives of the program are to nuture children's interest in music, dance and imaginative storytelling, and to use these creative arts to foster children's cognitive and emotional development. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",99,N/A,N/A,N/A
2005,KEYE,CBS,"Austin, TX",3,Analog,Dora the Explorer,Core,Network,Saturdays 10:30-11AM,14,0,30,2,5,"In this series seven-year-old Dora and her monkey travel companion Boots invite the audience to join them each week on a journey in which they will have to overcome various obstacles to reach an end goal. The series uses a CD-ROM/on-line adventure game format to encourage a variety of problem-solving strategies. The objectives of this program are to assist children in developing their problem-solving skills, reinforce their emerging cognitive skills, and make computers more familiar to them by introducing and using the conventions and vocabulary of computer games. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",99,N/A,N/A,N/A
